titulo,isbn,autores,editora,dataPublicacao,idioma,numeroPaginas
Pedro Páramo - Parte 2,9786541572992,Ernest Hemingway,Tor Books,1981-05-24,por,1010
High Performance MySQL - A Deep Dive,9786750643209,H.G. Wells;Arthur C. Clarke,Random House,1963-07-26,por,596
Mindfulness - Vol. 3,9789769094963,Arthur C. Clarke;James Baldwin;Jonathan Franzen,MIT Press,1955-04-23,eng,1310
The Double Helix - 2024,9782819034131,Dan Ariely,Puffin Books,2009-10-23,por,348
The Big Short - Step by Step,9784437158992,Marcel Proust,Companhia das Letras,1994-01-13,por,1472
Designing Distributed Systems - Applied,9784151706141,Jennifer Doudna,Farrar Straus and Giroux,2021-06-23,zho,881
Design Patterns - 2018,9781575680446,Robert Tibshirani,Cosac Naify,1996-04-27,por,480
Competitive Programming - Nível Avançado,9783582560551,Juan Rulfo,St. Martin's Press,1921-01-07,eng,79
Orgulho e Preconceito - Edição Atualizada,9780218777116,Trevor Hastie,Alfaguara,1906-12-02,fra,1285
Dead Souls - Edição de Bolso,9785061104812,Nikolai Gogol,Oxford University Press,1917-11-03,eng,126
Freakonomics - in Action,9784527329714,Ursula K. Le Guin;Clayton Christensen,Planeta,1930-04-26,eng,465
Uma Breve História do Tempo - For Beginners,9789794892848,Frank Herbert,Norton,1906-09-12,por,636
The Trial - Handbook,9789094800253,Robert Cialdini,Oxford University Press,1927-03-18,eng,1248
Cryptonomicon - Edição Premium,9786170636942,H.G. Wells;Isabel Allende;Milton Hatoum,Crown,1972-03-11,spa,1326
Rework - Edição Definitiva,9788324612468,J.R.R. Tolkien;William Faulkner,Martins Fontes,1916-06-05,eng,1211
2001 A Space Odyssey - Edição Atualizada,9784636218749,Orson Scott Card;Malcolm Gladwell,Bloom,2006-08-23,eng,1371
O Processo - Edição Crítica,9784094917079,William Faulkner,St. Martin's Press,1957-11-21,zho,956
System Design Interview - 2019,9787887760685,Steven Skiena;Thomas Pynchon;Chris Richardson,MIT Press,2023-03-17,eng,366
Domain-Driven Design - Vol. 4,9787765729407,Brendan Burns,Little Brown,1905-01-21,eng,260
Working Effectively with Legacy Code - Vol. 4,9786953051344,Steven Pinker,Yale University Press,2003-07-24,eng,776
Clean Code - 2016,9780833421883,Mark Richards;Michael Lewis,Oxford University Press,1907-09-07,eng,942
Homo Deus - Handbook,9789982590907,Steven Pinker;H.G. Wells,Crown,1916-09-04,por,706
São Bernardo - Step by Step,9785012015785,Dan Simmons;Steve McConnell,Orbit,2021-08-06,rus,831
The Name of the Rose - Applied,9785605746485,Malcolm Gladwell;Roger Penrose,Simon & Schuster,1999-11-11,eng,246
Childhood's End - 2016,9783061522230,Frederick Brooks,Princeton University Press,1913-08-06,por,1174
The Mythical Man-Month - Edição Premium,9782650749041,Cal Newport;Johann Hari,Dutton,2007-11-21,eng,1337
Ender's Game - 6ª Edição,9784265126439,Martin Fowler;Joseph Heller,Leya,1952-11-28,eng,844
Test Driven Development - Best Practices,9786790210799,Ian Goodfellow,Little Brown,1951-12-15,deu,401
Surely You're Joking Mr. Feynman - Edição Comemorativa,9785338423615,Toni Morrison;Simon Sinek,Prentice Hall,1993-12-16,eng,758
Freakonomics - 2022,9786778376431,Hermann Hesse,Martins Fontes,1951-12-28,por,137
Clean Architecture - 2023,9783694786382,Peter Norvig;Paul Clements,Iluminuras,1939-03-13,jpn,1073
Deep Learning - in Depth,9789130192991,Frank Herbert,Crown,1915-05-08,zho,1296
Atomic Habits - Edição Ampliada,9781379994329,Dan Ariely,Penguin Books,1938-10-25,eng,495
The Martian - Step by Step,9786732468394,Ian Goodfellow;Seth Godin,Springer,1920-01-18,eng,1491
Microservices Patterns - Best Practices,9784266313449,Seth Godin,Planeta,2010-02-07,eng,961
O Alquimista - in Practice,9784963733694,J.K. Rowling;Baron Schwartz,Leya,1939-09-17,eng,71
Designing Data-Intensive Applications - Tomo I,9783587317730,Clayton Christensen,Packt Publishing,2002-06-19,por,735
Domain-Driven Design - Vol. 2,9781871726756,Peter Thiel,Intrínseca,2013-06-27,eng,221
The Trial - Tomo I,9784134779971,Clayton Christensen,Simon & Schuster,1979-02-02,eng,324
Terraform in Practice - 2020,9784311760839,Steve McConnell,Farrar Straus and Giroux,1915-08-15,por,1041
O Pequeno Príncipe - Tomo II,9780643186545,João Guimarães Rosa,Manning Publications,2000-10-06,por,89
A Hora da Estrela - 2ª Edição,9784446731773,Seth Godin;Christopher Bishop;Nassim Nicholas Taleb,Scribner,1974-12-08,eng,1411
Hands-On Machine Learning - 2023,9780523065557,Joseph Heller;Yuval Noah Harari,Springer,1975-10-17,zho,824
Python for Data Analysis - in Depth,9780910145862,Betsy Beyer,Wiley,1941-11-25,fra,599
